Year,Age,Sex,Population
1970,65-69,Female,57.6
1970,70-74,Male,44.0
1970,70-74,Female,53.0
1970,75-79,Male,28.1
1970,75-79,Female,34.0
1970,80-84,Male,15.7
1970,80-84,Female,20.6
1970,85+,Male,8.2
1970,85+,Female,12.7
1971,00,Male,33.3
1971,00,Female,31.6
1971,01-04,Male,128.6
1971,01-04,Female,122.2
1971,05-09,Male,161.8
1971,05-09,Female,155.1
1971,10-14,Male,152.1
1971,10-14,Female,146.4
1971,15-19,Male,136.8
1971,15-19,Female,131.0
1971,20-24,Male,110.0
1971,20-24,Female,105.3
1971,25-29,Male,87.7
1971,25-29,Female,85.3
1971,30-34,Male,76.8
1971,30-34,Female,74.5
1971,35-39,Male,75.5
1971,35-39,Female,73.6
1971,40-44,Male,76.4
1971,40-44,Female,76.3
1971,45-49,Male,79.5
1971,45-49,Female,80.6
1971,50-54,Male,80.0
1971,50-54,Female,79.0
1971,55-59,Male,78.4
1971,55-59,Female,76.4
1971,60-64,Male,68.1
1971,60-64,Female,65.9
1971,65-69,Male,54.5
1971,65-69,Female,57.3
1971,70-74,Male,44.6
1971,70-74,Female,54.4
1971,75-79,Male,27.8
1971,75-79,Female,34.0
1971,80-84,Male,15.7
1971,80-84,Female,20.7
1971,85+,Male,8.1
1971,85+,Female,12.8
1972,00,Male,34.5
1972,00,Female,32.9
1972,01-04,Male,129.1
1972,01-04,Female,122.6
1972,05-09,Male,163.9
1972,05-09,Female,157.0
1972,10-14,Male,154.5
1972,10-14,Female,148.5
1972,15-19,Male,139.7
1972,15-19,Female,133.8
1972,20-24,Male,113.0
1972,20-24,Female,108.2
1972,25-29,Male,91.6
1972,25-29,Female,89.0
1972,30-34,Male,80.9
1972,30-34,Female,78.3
1972,35-39,Male,77.4
1972,35-39,Female,75.1
1972,40-44,Male,77.1
1972,40-44,Female,76.5
1972,45-49,Male,79.4
1972,45-49,Female,80.0
1972,50-54,Male,79.6
1972,50-54,Female,78.8
1972,55-59,Male,78.2
1972,55-59,Female,76.7
1972,60-64,Male,68.1
1972,60-64,Female,66.4
1972,65-69,Male,55.7
1972,65-69,Female,58.6
1972,70-74,Male,44.7
1972,70-74,Female,54.2
1972,75-79,Male,27.9
1972,75-79,Female,34.7
1972,80-84,Male,15.6
1972,80-84,Female,21.0
1972,85+,Male,8.1
1972,85+,Female,13.0
1973,00,Male,35.3
1973,00,Female,33.2
1973,01-04,Male,130.2
1973,01-04,Female,124.2
1973,05-09,Male,166.1
1973,05-09,Female,158.9
1973,10-14,Male,157.0
1973,10-14,Female,150.7
1973,15-19,Male,142.8
1973,15-19,Female,136.7
